context,friction,goal_pos,alpha,epsilon,gamma,tuned_score
C1_easy_right,0.9,4,0.013292918943162165,0.4753571532049581,0.9731993941811405,77.39999999999999
C2_medium_left,0.7,0,0.013292918943162165,0.4753571532049581,0.9731993941811405,47.199999999999996
C3_hard_right,0.5,4,0.13311216080736885,0.010292247147901223,0.9969909852161994,23.0
C4_veryhard_left,0.35,0,0.014283916590313668,0.2947992509228796,0.926108696227385,37.199999999999996
