trial,alpha,epsilon,gamma,train_score,test_score
0,0.013292918943162165,0.4753571532049581,0.9731993941811405,61.455999999999996,61.08399999999999
1,0.06251373574521749,0.07800932022121826,0.9155994520336203,55.70399999999999,43.20399999999999
2,0.0014936568554617625,0.4330880728874676,0.9601115011743209,43.775999999999996,56.024
3,0.13311216080736885,0.010292247147901223,0.9969909852161994,7.339999999999999,28.580000000000002
4,0.31428808908401085,0.10616955533913808,0.9181824967207101,52.484,47.156
5,0.0035498788321965025,0.15212112147976886,0.9524756431632238,18.723999999999997,28.576000000000004
6,0.01976218934028007,0.14561457009902096,0.9611852894722379,37.33200000000001,16.668
7,0.002621087878265439,0.14607232426760908,0.9366361843293691,23.0,16.516
8,0.023345864076016236,0.3925879806965068,0.919967378215836,61.084,60.876
9,0.034890188454913866,0.29620728443102123,0.9046450412719997,61.279999999999994,61.0
10,0.7154800196121124,0.2794254491287337,0.9969537110787866,40.572,21.528000000000002
11,0.01097874439957156,0.49327766338644063,0.9790347133938537,61.455999999999996,60.872
12,0.00733290908589896,0.4928690177164738,0.9783629621149017,61.064,60.007999999999996
13,0.013373118269738329,0.49791911688230517,0.9775718371288734,61.508,60.876
14,0.007203821205189777,0.383705567714647,0.9759546704051543,49.70399999999999,54.54
15,0.0722107456245708,0.30685130834994045,0.9477329700795033,61.519999999999996,56.8
16,0.08637029642974481,0.2760131200377595,0.9409587850420439,56.919999999999995,56.85999999999999
17,0.188540462922964,0.22315524395021824,0.9377494285385518,44.224000000000004,51.32000000000001
18,0.04157768651083723,0.33998798339822395,0.9482155278991022,56.908,61.004
19,0.9728583151931061,0.22693141192308142,0.9660855725292287,26.583999999999996,21.576
20,0.3901166304560275,0.4128967677524891,0.9855218755202788,22.804,41.315999999999995
21,0.013145795663278607,0.45053575841409443,0.9685504608128934,61.084,61.0
22,0.007407194226419491,0.34469907186568466,0.9864445293459606,42.839999999999996,44.988
23,0.0036667911297684516,0.45980172369501465,0.9531124030351461,52.30800000000001,56.024
24,0.05456732235295342,0.3445779114924311,0.9270534936238514,61.519999999999996,61.08399999999999
25,0.08437511769432098,0.34583753050342253,0.9279013271567326,56.9,61.08399999999999
26,0.04275395777115783,0.24933332209457768,0.9266903752075553,61.076,61.08399999999999
27,0.15008245681635737,0.37301669212828037,0.9101295493414423,56.919999999999995,61.08399999999999
28,0.025465698246031426,0.30750385043071365,0.9001486226662632,61.032,61.0
29,0.07550814036538045,0.21696368049513928,0.9445432030454438,61.519999999999996,61.08399999999999
30,0.2709565725402861,0.19438459739319308,0.9316449642687922,44.516000000000005,43.672000000000004
31,0.0706741809187455,0.1919461559550271,0.9444824304257933,61.343999999999994,61.08
32,0.11836215537841104,0.3132394567758081,0.9229835342230236,57.084,49.69599999999999
33,0.048387405678513205,0.2562412852629318,0.9550419226838888,61.076,61.08399999999999
34,0.059518569743468704,0.41489514341212386,0.9334375354161046,57.084,56.84400000000001
35,0.0010121655334463851,0.05215251589578895,0.9446776022983839,11.784,9.508000000000001
36,0.030408932460720767,0.20861911775591527,0.9142260711372586,56.652,60.876
37,0.01630104176172593,0.16534690335895097,0.9602443348519135,24.923999999999996,43.268
38,0.10674067045324641,0.07558072706744909,0.9665823220317782,61.279999999999994,60.25600000000001
39,0.1988836069192996,0.11052012705431016,0.9493941557267693,61.552,60.260000000000005
40,0.24754458348173647,0.11102188683924769,0.9502183269662168,50.724000000000004,50.676
41,0.3758579794654749,0.0075106058128436015,0.9571550165907134,50.028,43.58
42,0.17098611587796908,0.03916159763294877,0.9438176615297809,56.64399999999999,60.36800000000001
43,0.5126663970512039,0.1717356533725725,0.9385392252506113,44.82,43.304
44,0.06552839916776848,0.13639192606507666,0.93262269983548,61.076,56.164
45,0.19649556198467982,0.10501563959852178,0.9988520165424966,51.4,49.544
46,0.11343294415248167,0.2460311376755298,0.9907062507059599,52.74399999999999,52.488
47,0.02080478875312697,0.2851349000400321,0.9479502552785231,61.032,53.608000000000004
48,0.0537090650782468,0.3660887848015605,0.9618698149453311,56.919999999999995,61.08399999999999
49,0.033485796066795075,0.43132328143905846,0.9235423741761055,61.519999999999996,61.08399999999999
50,0.029341242445216745,0.32168548982499007,0.9187419280454158,61.3,61.08399999999999
51,0.037872714167007666,0.45866089190972087,0.9249625035200657,61.519999999999996,61.08399999999999
52,0.038401313526109426,0.47236233896112134,0.9243731324233536,61.519999999999996,61.08399999999999
53,0.08569532887533715,0.4316438872949891,0.9144710368870225,61.324,61.08399999999999
54,0.03547473379789786,0.40507344070116513,0.9293423121070022,61.519999999999996,61.08399999999999
55,0.07809622866366739,0.36553166807528853,0.9359638624905979,56.919999999999995,60.955999999999996
56,0.051329560488724814,0.43561646531385617,0.9094558383783208,61.519999999999996,61.08399999999999
57,0.01611388253128297,0.4802847424382162,0.9421868881333109,61.488,60.876
58,0.10211789615722854,0.3909442105907755,0.9217048097851638,55.176,60.955999999999996
59,0.010285735127147828,0.33236651347720386,0.9489683363064314,49.843999999999994,53.952
