episode,return,mean_critic_loss,mean_return,std_return
1,-131.9283077563043,23.355693655354635,,
2,-447.93141697276184,76.01436255779942,,
3,-494.5537089925912,58.79174378183153,,
4,-600.0579617951237,63.84896377416757,,
5,-850.245332182599,53.141829117961315,,
6,-321.24342027264174,55.071514582633974,,
7,-413.57971869505076,58.984413850598216,,
8,-521.8996524397788,56.21930583410485,,
9,-536.6612255681,55.97141298092902,,
10,-541.6149969293801,55.38324419220725,,
11,-532.2617843243445,50.648419629086504,,
12,-436.5369047387715,50.017465398569776,,
13,-358.7100201105964,43.649557601321824,,
14,-215.76349553238214,46.748595925739835,,
15,-251.92884602987468,37.727500524426915,,
16,-373.1642383634414,37.337904200706305,,
17,-288.9763849268715,25.073257861993252,,
18,-465.3101763089677,25.298793288489275,,
19,-172.59445953995217,15.522702782988548,,
20,-486.83608989693005,11.996568915807655,-200.4765127215158,80.14726184569567
21,-202.96043010951075,10.699247688889503,,
22,-148.70928243990483,10.17855548977852,,
23,-96.95504223105365,7.540761634409428,,
24,-405.2312284329457,7.835480801009906,,
25,-248.00012363079975,8.311818165038018,,
26,-297.0366583445905,8.5713508511902,,
27,-291.7035024014966,12.133877168053306,,
28,-194.84190729195947,10.405681599232189,,
29,-145.88206038895837,13.46771580422366,,
30,-852.0213901425318,11.375508752787058,,
31,-229.06441484279492,6.645106395588646,,
32,-78.96968210791005,14.523134234688046,,
33,-413.79663901840235,13.935625863897389,,
34,-298.67560848868004,17.63966259103737,,
35,-262.9197464437083,11.212020103893583,,
36,-312.306913483432,9.078884142344116,,
37,-550.2718726559801,12.02777322392288,,
38,-322.4573224607267,11.437247124248081,,
39,-243.58341855570123,10.430701825481195,,
40,-289.35399116891915,14.99676931017383,-376.46917705979,114.35408398882956
41,-109.59112519334182,10.821786470939777,,
42,-333.40451122828523,12.605932786844779,,
43,-282.2225420057629,12.431483499887513,,
44,-349.6592812707776,9.962358529459346,,
45,-346.99951457137354,9.699398869762616,,
46,-359.8832886960376,10.858414934355046,,
47,-347.27605114993486,12.811331705374865,,
48,-314.23232921825553,13.522059851900085,,
49,-286.7270329955876,14.662701801891767,,
50,-256.8829874808175,13.929191574021493,,
51,-496.0620973243969,14.308156001142093,,
52,-364.1059164355004,15.0706746021687,,
53,-454.50635810312724,14.63697300106287,,
54,-394.46325999893423,17.21799018298698,,
55,-143.12766403431766,12.845354685030486,,
56,-158.0352246351654,14.259611941651253,,
57,-181.56459666959606,19.376487529039384,,
58,-350.4556884669421,16.80387043066927,,
59,-83.6794585717588,14.649820013165474,,
60,-449.396427769101,14.922601714011558,-225.94765850425838,66.46582135702616
61,-130.44700867325224,15.95781372976303,,
62,-109.14491017289905,13.6932181502073,,
63,-195.5554109499692,14.683010521711726,,
64,-67.77850681316004,14.170912772049139,,
65,-157.5538427410701,16.53940224576139,,
66,-435.68176084783215,15.572610805663027,,
67,-214.11328656719098,16.122369211326617,,
68,-486.0001661537162,18.666257356062975,,
69,-94.62445825307357,15.995883006530049,,
70,-283.70337751398546,17.009256601333618,,
71,-339.8660492097208,16.564880546351322,,
72,-236.79012603859286,15.29355703507151,,
73,-285.8540264443918,15.64555507162784,,
74,-423.0893219543595,18.8808166197702,,
75,-259.41877453719314,17.137888472461135,,
76,-286.32753497058206,16.934425252052087,,
77,-299.4351796772039,17.86453723801271,,
78,-215.7210438283235,18.30077158239924,,
79,-366.41012121210997,17.372327060775554,,
80,-404.1393646445026,17.899246316577656,-549.5174440299809,528.964434439945
81,-266.08640925193004,17.221011179659335,,
82,-311.5402309456402,18.944807906131274,,
83,-382.9152826866452,18.512208614111938,,
84,-384.59981780975954,16.869078428084006,,
85,-332.84106686513195,16.42728150476165,,
86,-335.69144888781335,17.905478664217767,,
87,-81.26993074953899,16.686488850831985,,
88,-62.8575072627085,17.07576761293411,,
89,-65.05984193568365,14.290042453050614,,
90,-41.73016593262996,14.702667281866074,,
91,-364.02455792207553,14.456210755259614,,
92,-117.66115912868116,13.011275611639023,,
93,-12.276123553089295,14.132896832823754,,
94,-12.437833139991358,14.511465226173401,,
95,7.310723783410214,14.567083113908767,,
96,-19.620940255913066,13.931991163134574,,
97,28.19201400951534,14.373178814411164,,
98,-90.79055573008343,15.239236655497848,,
99,-79.70668579265448,14.618932589292527,,
100,-4.827811479838129,12.33241089105606,-62.41876501709631,14.96887740682733
101,-93.01084186494467,13.447742432117462,,
102,-44.66481888587808,11.054673847198487,,
103,-172.2360970640301,13.013852414449056,,
104,-20.963655942363115,13.269716999530793,,
105,28.787085592809355,12.57308085179329,,
106,-485.84496510870764,11.428730655886957,,
