episode,return,mean_critic_loss,mean_return,std_return
1,-130.97048428589807,1.3057882243936711,,
2,-343.81109556328244,81.52249683141709,,
3,-842.1287645342288,54.61472962818284,,
4,-377.387656346949,54.46905833230892,,
5,-1945.7073429577729,48.52601422556453,,
6,-377.85444474988066,63.991615025684084,,
7,-458.78168881872057,58.20151470043908,,
8,-804.6390787934583,67.54079963459688,,
9,-873.1881344165378,64.8778676935967,,
10,-242.73482697528337,57.686714587673066,,
11,-888.6019943737375,50.43584285428127,,
12,-679.4644721552746,48.69072964863899,,
13,-764.9916456137275,45.98465641444882,,
14,-253.59548620247617,35.47099344040218,,
15,-249.14252508685203,44.90384054402693,,
16,-547.0123136536138,39.75396409435807,,
17,-783.8069911741073,54.121533160985905,,
18,-402.54307218619704,41.88130532673427,,
19,-350.58398441041044,44.61375152689856,,
20,-523.7727390392998,33.38977126417489,-583.2313403225093,148.0029490607567
21,-620.8609929880269,37.12541279407463,,
22,-564.2922550521155,40.99867867408915,,
23,-460.8687392976483,35.80854990305724,,
24,-934.8865309122373,39.316425625810915,,
25,-291.036288672836,37.79484346359968,,
26,-581.374021639466,34.39518058577249,,
27,-304.47777622993954,43.216284376851625,,
28,-310.07954032865075,26.780636248381242,,
29,-110.17883262237913,29.341103563503342,,
30,-68.86246326184077,21.708324887431584,,
31,-553.3901599244239,26.047332584267796,,
32,-498.5961412239209,25.23559184980126,,
33,-805.2164513774441,26.060254046086516,,
34,-300.253358973815,23.464124283043006,,
35,-387.51122997715436,19.063292101686223,,
36,-134.45025200219573,17.664719086408613,,
37,-373.18043777168134,13.712167384800004,,
38,-459.75423512429137,14.932609858755338,,
39,-128.08236495008114,13.483231564044953,,
40,-187.08067930202273,11.455910361528396,-176.40202630711264,23.056853924841114
41,-169.19522858085048,10.57900861347163,,
42,-157.41060129103136,10.634045704960823,,
43,148.38668878488045,9.623679804178254,,
44,-259.0965634256253,15.576064971565199,,
45,-154.06075327404074,14.624419717749289,,
46,-337.0860442282159,14.5189987709984,,
47,-209.06404567752287,12.657267593172952,,
48,-273.86688299815717,13.100046858797228,,
49,-227.88063924014787,13.062598692791541,,
50,-206.85019239833582,13.182446673099811,,
51,-348.4426133978234,16.32650186411092,,
52,-134.30451127831856,13.032626931801502,,
53,-274.1567233835327,13.315760138251564,,
54,-334.16500544878966,9.784076226000883,,
55,119.3770217207235,12.421747088432312,,
56,-138.54010658779967,14.757699140331201,,
57,-330.6402290436787,13.286534288432449,,
58,-245.8635219027946,14.981562310878228,,
59,-190.02288161568544,11.750798607914193,,
60,-372.18226677843995,17.201635563871868,-317.28948134782934,124.65477312477273
61,-170.65753542887498,13.110944622039796,,
62,-267.4799387854109,15.70267325071288,,
63,-201.51443349818987,13.630921163930866,,
64,-260.796173169246,18.019732884871654,,
65,-325.9905004908809,14.872138332950977,,
66,-148.93326296784775,12.031878687986513,,
67,-495.0466739337922,13.160850545603358,,
68,-298.7906147284827,13.027461019120638,,
69,-238.13792416903286,12.66691162782846,,
70,-251.05511873079394,9.878539428872577,,
71,-304.1161535941636,16.112951240987858,,
72,-299.7115687069431,18.574904652666454,,
73,-132.14068021620523,17.3453277755428,,
74,-418.9858770550282,19.188317550640356,,
75,-356.98938717841975,16.195793763598513,,
76,-206.2942218528146,13.085796883990687,,
77,-258.9187956303741,14.592966570437532,,
78,-193.53005425837588,15.051538946441791,,
79,-132.0367915847129,13.635341714728963,,
80,-306.4129682544709,16.28179607591556,-245.64058372272865,112.84748317909217
81,-354.49128275597025,16.722984004086552,,
82,-394.47693026602695,13.413011412097983,,
83,-156.5070990527362,16.83397717277209,,
84,-98.21341039719374,14.347156156410687,,
85,-216.44901064500542,15.012154928458635,,
86,-148.7007317600906,15.673360553622246,,
87,63.00619505118014,13.914182072317143,,
88,-91.28535479362213,19.868165055582345,,
89,-163.09880095145908,13.700448897361756,,
90,-162.5857833803865,19.97790847210526,,
91,-107.4460313021197,12.104558292557211,,
92,-73.14950215029148,15.189545346277058,,
93,-95.4049219529526,14.955855089426041,,
94,-105.70110467670122,14.608293075561523,,
95,-132.38621691604078,12.788637248847795,,
96,-82.16029004468135,12.878223877048018,,
97,-219.04118336679076,10.093256755486914,,
98,-110.62106878889209,10.884244539198422,,
99,-278.3237206150253,10.338424365731735,,
100,-273.4271220315843,12.842105495955028,-167.05534338759313,37.91013557679393
101,-155.59094384750762,13.34123802835291,,
102,-197.53596637968212,12.716498702592904,,
103,-286.24554368374606,12.54504347531522,,
104,-232.73638681900218,13.649811769186796,,
105,-216.77100705002414,12.670601146383435,,
106,44.28645852917877,14.121932239770889,,
107,-261.8457479675135,16.27695280359271,,
108,-195.1703885150985,11.608107087910176,,
109,-104.03201998253577,13.978206990621029,,
110,-193.15631425659407,11.334412577966365,,
111,-34.40797563739903,13.917081937222038,,
112,-57.63175931168385,13.41755587460747,,
113,-21.837092648289662,13.3050283960104,,
114,-26.41699278807583,11.157286581737456,,
115,-5.559081316021732,15.32770239320489,,
116,-304.33041438984174,13.588846496963047,,
117,8.676379438447857,13.099535118579864,,
118,-125.87416715321713,13.64673163306713,,
119,-162.70030121808438,13.428290808558463,,
120,-113.33042940133018,13.510406042337417,-118.57498287403875,40.50563843869122
121,-94.07006064922587,12.105923066735267,,
122,-73.85470680776031,11.775762114524841,,
123,-8.42494288789526,10.846684939086437,,
124,-76.60572216256682,13.843604727176748,,
125,-162.59492710130448,11.992523894014285,,
126,-95.1600132624681,12.09132325201527,,
127,-99.01653446165056,10.9294381000798,,
128,-146.68154675729738,11.423343043384584,,
129,-225.91698843378606,12.271072528579019,,
130,-81.28160867571194,13.528587229371071,,
131,-75.66664707259613,11.934298545479775,,
132,-168.0165260391069,13.467754180244155,,
133,-116.73811019077263,10.95620495203729,,
134,-122.30531963964977,10.766167001265316,,
135,-75.10982032288243,11.353203330430562,,
136,-130.34067500344113,13.3486403609824,,
137,-19.267550879076975,12.881111379384995,,
138,-156.93870663905213,11.07267634926039,,
139,-193.07299767712016,12.949359715938568,,
140,-79.83805778741188,13.57576306438446,-142.27638936997513,54.86026110966402
141,-228.7154511417507,10.911012264664377,,
142,35.79490420904388,11.0142539229393,,
143,-38.245348861385466,13.61268722319603,,
144,-80.54541403458907,11.750768231868744,,
145,-101.03779611107558,15.283505511647872,,
146,-95.7761158072783,12.697554786384107,,
147,-129.74362820613558,11.233580231785774,,
148,-216.48372122959663,11.790854157865047,,
149,-242.826209116998,11.767774603261135,,
150,-221.6487153777632,13.213818973106193,,
151,-174.62905938848448,11.600659458089895,,
152,-121.14226184263755,11.395611220359802,,
153,-117.90451963628914,10.078762224197387,,
154,-200.51582185086914,11.225618642568588,,
155,-184.60930879426627,12.403757990121841,,
