episode,return,mean_critic_loss,mean_return,std_return
50,-377.51736655733134,0.1843886173533802,-685.3584973859903,131.74625828273628
100,-74.67273951718114,12.520688085288182,-111.8395909193644,73.48432125270405
150,26.33128335925049,-16.78292631689337,-47.31844976234812,27.792710647079353
200,6.419254599592806,5.522702509686846,103.82743585515018,75.61700406983825
250,-20.522517217657803,11.316951256378859,41.64665011084497,99.13473223563504
300,-212.12286352657645,17.63688279335148,-55.784401720044116,161.30220769505348
350,139.2323174360966,42.32441527776369,155.19310044536684,90.56058740634836
400,238.72785912852473,51.774403379663205,74.52889552567191,129.6754708422194
450,-67.29144931165719,-4.793750879247813,-73.01984765294627,144.0812769821156
500,-6.95014792954998,10.47777697355365,132.64875359198646,69.98850176658098
550,-27.09773716459843,5.287248618924508,41.316516016864036,85.21622331445967
600,-30.005508928893565,-12.315433745178506,-73.56693453171513,33.09645326208587
650,-42.62472224839498,8.444080638904587,18.176568189361827,12.882154713425418
700,-23.109867814879014,20.100375935368312,12.977771042796087,18.769590059581052
750,19.143834732619474,-0.36892403375487426,92.33383783894992,115.95330675293457
800,-67.76192806617226,0.13858078859354528,-56.28454494189102,10.983772778427747
850,-33.94530686382849,7.216145021431167,-5.9800188932557745,16.862134924364174
900,24.235456068491537,12.754772307528897,92.98326906618748,107.33667867589887
950,-47.28016505357435,66.46953766746456,130.884295372443,69.49325487004668
1000,-98.56693282549104,-36.17871423745871,-125.30703112772953,16.776001487993877
