episode,return,mean_critic_loss,mean_return,std_return
50,-112.42604647453783,-1.34640794873851,-122.81087519307376,54.41264054184917
100,-185.64831483638656,19.305647429051547,-153.99005345334112,23.08303938453704
150,-144.61718931355333,-0.17921658405493643,-127.46428837753342,27.71291500563841
200,-570.6276942222768,-21.10232707175321,-379.75917100098457,203.90932817842653
250,-610.905592177165,-13.143959708753707,-324.89320187551414,261.3282007375563
300,-949.2581170174338,-5.3936090996068335,-1115.3982734467177,396.03550855152304
350,-771.4605103255699,46.18537721582901,-778.1569822213615,101.95549564474058
400,-393.8043160958954,1.283784310682299e-20,-593.240237382187,110.3036547523361
450,-631.9851923414416,-5.241016361135983e-21,-904.3779030804968,387.99801869776684
500,-621.0212906235536,-2.5653704438111074e-06,-806.499174460579,378.1901151373937
550,-1065.854636529076,-8.470329472543003e-22,-708.12107614538,270.21654062499715
600,-575.8733630235358,1.0058516248644817e-21,-1151.6386733694167,423.6705875961478
650,-742.026363127137,-7.073604245771254e-07,-623.7980426054091,217.85859517578882
700,-1377.6323715152446,-3.1763735522036263e-21,-465.058965968691,40.8421769100113
750,-460.4790288042302,2.1705219273391446e-21,-664.5298317556214,143.21644421642478
800,-520.7775534614349,-1.0447455733522216e-05,-717.5380289219827,174.2115694624527
850,-416.1389251290889,1.3234889800848443e-21,-710.8496168915328,181.4108492685877
900,-997.782350217861,-7.358598729271734e-21,-771.4337832820893,400.46244206856886
950,-589.630178110124,-5.645120645554996e-06,-874.0272375273901,332.3007982234643
1000,-672.5566816163864,4.711620769102046e-21,-667.3349956731629,222.39797717232707
