lambda,best_rms_error
0.0,0.07228865711327609
0.1,0.06650392546987777
0.3,0.07321725305138597
0.5,0.08003200741490187
0.7,0.09790527702286238
0.9,0.1327477121459844
1.0,0.18747553799823197
