lambda,rms_error
0.0,0.12589789722735945
0.1,0.11635203840873115
0.3,0.11657858817799255
0.5,0.12661237170908826
0.7,0.12797132973308642
0.9,0.14415713105057856
1.0,0.17018620954088248
