lambda,alpha_0.0000,alpha_0.0500,alpha_0.1000,alpha_0.1500,alpha_0.2000,alpha_0.2500,alpha_0.3000,alpha_0.3500,alpha_0.4000,alpha_0.4500,alpha_0.5000,alpha_0.5500,alpha_0.6000
0.0,0.23568811873736853,0.17492535644753268,0.1284566157686595,0.0949628079832436,0.07650231780634786,0.07228865711327609,0.07620090968049854,0.09566897438541178,0.10608998626468889,0.12683533848626743,0.14618578653480646,0.15697980797195044,0.1790820673348475
0.1,0.23568737452784475,0.17127476494064595,0.12596431015341827,0.08975401639554201,0.06893394998887324,0.06650392546987777,0.07625396547655365,0.0938926399334921,0.1132211917472644,0.13864879523712137,0.13672587313088816,0.15148749967739372,0.17174698865590257
0.3,0.2356856468630887,0.1655585932931127,0.11761248986565251,0.08930513157617273,0.07321725305138597,0.07505245189154952,0.09700519238436903,0.09946181982636043,0.12684644656824426,0.1495592875080584,0.14794532771444754,0.16232499129933134,0.183432896569427
0.5,0.2356834566283386,0.15836534788642065,0.11414094423345005,0.09227619269639911,0.08003200741490187,0.10361894366341398,0.1081829425359337,0.13845368277034034,0.1430439068011464,0.1519622875861478,0.16737161784356794,0.19042024327727522,0.20002291754572973
0.7,0.23568064335099603,0.1521632511515059,0.11419754865197167,0.09790527702286238,0.11460803482619154,0.12274233578671925,0.13520159902970386,0.15352118767511583,0.17529525187220066,0.19569280572202297,0.21123102198877725,0.2230114807861791,0.2513725112567663
0.9,0.23567635369707282,0.1519346017108685,0.1327477121459844,0.1591407180885219,0.1795817185452902,0.20935711725792688,0.23125749273371832,0.2450258242652503,0.3003387167724673,0.35314187187546586,0.34332246643785147,0.4321605534926621,0.44930323602518174
1.0,0.23567483065063563,0.18747553799823197,0.19225849042385726,0.24930336437985035,0.2861474984939042,0.364598548765269,1.0485232877178754,2010.2968082271316,513.4724505439439,189331186509.01422,187608016.39142454,1196334653.2559707,32849042.776112124
